count,prod,data_loaded_B,dif_time,MB_s,x_size,y_size,time_size,x0,xf,y0,yf
0,ls8_level1_epsg32723_3,358702848,22.162315607070923,15.42040810530086,967,966,16,202800.0,231787.5,8764600.0,8793550.0
1,ls8_level1_epsg32723_3,358702848,21.66840887069702,15.771898770180389,967,966,16,202800.0,231787.5,8793550.0,8822500.0
2,ls8_level1_epsg32723_3,358702848,11.081196546554565,30.840708382324635,967,966,16,202800.0,231787.5,8822500.0,8851450.0
3,ls8_level1_epsg32723_3,358702848,22.107068300247192,15.458944921054542,967,966,16,202800.0,231787.5,8851450.0,8880400.0
4,ls8_level1_epsg32723_3,358702848,10.982044219970703,31.11915635870786,967,966,16,202800.0,231787.5,8880400.0,8909350.0
5,ls8_level1_epsg32723_3,358702848,23.002293586730957,14.857298900691118,967,966,16,202800.0,231787.5,8909350.0,8938300.0
6,ls8_level1_epsg32723_3,358702848,22.541998863220215,15.160676446360691,967,966,16,202800.0,231787.5,8938300.0,8967250.0
7,ls8_level1_epsg32723_3,358702848,10.878725051879883,31.41470618934856,967,966,16,202800.0,231787.5,8967250.0,8996200.0
8,ls8_level1_epsg32723_3,358702848,10.357053995132446,32.997023224956344,967,966,16,231787.5,260775.0,8764600.0,8793550.0
9,ls8_level1_epsg32723_3,358702848,11.06215238571167,30.893802517214738,967,966,16,231787.5,260775.0,8793550.0,8822500.0
10,ls8_level1_epsg32723_3,358702848,5.645265340805054,60.537801252540596,967,966,16,231787.5,260775.0,8822500.0,8851450.0
11,ls8_level1_epsg32723_3,358702848,11.353144884109497,30.101963350951994,967,966,16,231787.5,260775.0,8851450.0,8880400.0
12,ls8_level1_epsg32723_3,358702848,5.939884662628174,57.5351156849399,967,966,16,231787.5,260775.0,8880400.0,8909350.0
13,ls8_level1_epsg32723_3,358702848,12.577500104904175,27.17169138295276,967,966,16,231787.5,260775.0,8909350.0,8938300.0
14,ls8_level1_epsg32723_3,358702848,12.487057209014893,27.36849407343054,967,966,16,231787.5,260775.0,8938300.0,8967250.0
15,ls8_level1_epsg32723_3,358702848,6.025855779647827,56.7142599684796,967,966,16,231787.5,260775.0,8967250.0,8996200.0
