count,prod,data_loaded_B,dif_time,MB_s,x_size,y_size,time_size,x0,xf,y0,yf
0,ls8_level1_epsg32723_3,717405696,75.30143213272095,9.07690442373432,967,966,32,202800.0,231787.5,8764600.0,8793550.0
1,ls8_level1_epsg32723_3,717405696,80.65681505203247,8.474223808590626,967,966,32,202800.0,231787.5,8793550.0,8822500.0
2,ls8_level1_epsg32723_3,717405696,39.843289613723755,17.154805967717987,967,966,32,202800.0,231787.5,8822500.0,8851450.0
3,ls8_level1_epsg32723_3,717405696,81.71490502357483,8.364494852460917,967,966,32,202800.0,231787.5,8851450.0,8880400.0
4,ls8_level1_epsg32723_3,717405696,40.094908475875854,17.04714958634392,967,966,32,202800.0,231787.5,8880400.0,8909350.0
5,ls8_level1_epsg32723_3,717405696,83.60922861099243,8.17498156356823,967,966,32,202800.0,231787.5,8909350.0,8938300.0
6,ls8_level1_epsg32723_3,717405696,81.4763970375061,8.388980456811147,967,966,32,202800.0,231787.5,8938300.0,8967250.0
7,ls8_level1_epsg32723_3,717405696,39.49648594856262,17.305435813433395,967,966,32,202800.0,231787.5,8967250.0,8996200.0
8,ls8_level1_epsg32723_3,717405696,37.117313861846924,18.414691994767477,967,966,32,231787.5,260775.0,8764600.0,8793550.0
9,ls8_level1_epsg32723_3,717405696,38.558380365371704,17.72646817532984,967,966,32,231787.5,260775.0,8793550.0,8822500.0
10,ls8_level1_epsg32723_3,717405696,19.197756052017212,35.60332262724033,967,966,32,231787.5,260775.0,8822500.0,8851450.0
11,ls8_level1_epsg32723_3,717405696,40.88471531867981,16.71783445503749,967,966,32,231787.5,260775.0,8851450.0,8880400.0
12,ls8_level1_epsg32723_3,717405696,21.696309328079224,31.503233665388336,967,966,32,231787.5,260775.0,8880400.0,8909350.0
13,ls8_level1_epsg32723_3,717405696,45.26553797721863,15.099873612084766,967,966,32,231787.5,260775.0,8909350.0,8938300.0
14,ls8_level1_epsg32723_3,717405696,45.51388168334961,15.017482077101574,967,966,32,231787.5,260775.0,8938300.0,8967250.0
15,ls8_level1_epsg32723_3,717405696,21.416677951812744,31.914562285378693,967,966,32,231787.5,260775.0,8967250.0,8996200.0
